id,category,name,aliases,calories,protein,fat,saturated_fat,carbs,fiber,sugar,sodium,trans_fat_g
D2100407,水果類,蓮花芒果,"檬果,檨仔,菴羅果",46.0388,0.421,0.2317,0.0832,12.2047,0.7825,10.4872,0.401,
D2110101,水果類,芒果乾,,328.4143,0.55,0.9749,0.3465,89.9751,3.44,56.589,219.0,0.0
D22001,水果類,荔枝平均值,"丹荔,荔錦,麗枝,離枝",63.6439,1.0357,0.236,0.0865,16.5319,0.8288,14.0801,1.244,
D2200101,水果類,玉荷苞荔枝,"丹荔,荔錦,麗枝,離枝",67.0522,1.168,0.2426,0.0889,17.3064,0.7537,14.394,0.2381,
D2200102,水果類,黑葉仔荔枝,"丹荔,荔錦,麗枝,離枝",60.2356,0.9033,0.2294,,15.7574,0.9039,13.7661,2.2498,
D2200201,水果類,冷凍荔枝,"丹荔,荔錦,麗枝,離枝",27.1207,0.4,0.11,,7.18,0.62,,9.0,
D2300101,水果類,龍眼,"桂圓,龍目,圓眼",68.9898,1.1275,0.3794,0.2183,18.0294,1.8,15.159,2.5862,0.0
D2310101,水果類,龍眼乾,"桂圓乾,龍目乾,圓眼乾",271.5229,5.065,0.4547,0.2515,70.9074,2.855,51.408,4.8081,0.0
D2310201,水果類,帶殼龍眼乾,"桂圓乾,龍目乾,圓眼乾",273.5521,4.604,0.071,0.0,72.8965,3.0869,,0.4082,
D24001,水果類,李子平均值(青皮黃肉),李子,45.1137,0.667,0.3753,,11.7093,1.5136,,0.2939,
D2400101,水果類,加州青李,李子,44.3582,0.649,0.22,,11.9872,1.7611,,0.4595,
D2400102,水果類,翡翠李,李子,45.8692,0.685,0.5305,,11.4314,1.2661,,0.1282,
D24002,水果類,李子平均值(紅皮紅肉),李子,36.8019,0.6053,0.3384,0.1105,9.6089,1.6598,5.6884,0.2462,
D2400201,水果類,紅肉李(大),李子,38.1644,0.5315,0.3323,,10.0037,1.5101,5.8854,0.0003,
D2400202,水果類,紅肉李(小),李子,35.4394,0.679,0.3444,0.1125,9.214,1.8094,5.4914,0.492,
D24003,水果類,李子平均值(紅皮黃肉),李子,45.2523,0.7072,0.2937,0.1035,11.8859,1.4819,5.4026,0.6912,0.0
D2400301,水果類,加州紅李(台灣),李子,41.9863,0.348,0.6404,,10.5853,1.6564,,0.0304,
D2400302,水果類,加州紅李(進口),李子,57.6347,0.818,0.2653,,15.3065,1.5236,,3.5,
D2400303,水果類,加州蜜李(進口),李子,62.8715,1.254,0.0513,,17.1014,2.0852,,0.0521,
D2400304,水果類,香水李,李子,35.1833,0.709,0.271,0.0885,8.7576,0.6216,5.8479,0.264,
D2400305,水果類,桃接李(大),李子,35.6938,0.5845,0.2828,,9.231,1.168,5.045,0.7417,
D2400306,水果類,桃接李(小),李子,32.7376,0.66,0.3158,0.1194,8.5987,1.9241,5.315,0.0181,0.0
D2400307,水果類,蜜棗李(進口),李子,50.6589,0.577,0.229,,13.6207,1.3944,,0.2319,
D2400401,水果類,黃肉李,李子,33.9574,0.436,0.222,0.0836,8.9241,0.9328,5.8709,0.474,
D2400501,水果類,黑李,李子,54.5799,0.7435,0.1591,0.0666,14.7397,1.4455,10.471,0.1925,
D2500101,水果類,枇杷,琶琵果,36.4924,0.327,0.1907,0.0358,9.7937,0.9124,7.9976,4.3127,
D2600101,水果類,筆柿,"柿子,柹,香柿(長柿,珍寶柿,筆干柿)",62.7633,0.574,0.149,,18.3445,4.0329,,1.9299,
D27002,水果類,甜柿平均值,"柿子,柹,香柿",55.1744,0.4813,0.1004,,15.1904,1.2303,13.0254,2.9431,
D2700201,水果類,富有甜柿(大雪山),"柿子,柹,香柿",55.0439,0.391,0.1243,,15.122,1.0934,13.0254,0.48,
D2700202,水果類,甜柿(進口),"柿子,柹,香柿",55.3049,0.5715,0.0765,,15.2588,1.3671,,5.4062,
D2700203,水果類,國產甜柿,"柿子,柹,香柿",45.7244,0.374,0.0558,0.0282,12.6902,1.0525,11.586,0.0,0.0
D2700301,水果類,牛心柿,"柿子,柹,香柿(水柿,浸柿,硬柿,脆柿)",55.9039,0.4805,0.1615,,16.4829,4.0005,,3.3468,
D2700401,水果類,四周柿,"柿子,柹,香柿(紅柿,軟柿)",58.6593,0.474,0.099,,17.5623,4.3664,,0.4203,
D2700501,水果類,柿餅,,175.474,1.7097,0.2172,0.0809,52.2366,12.5877,25.985,3.7444,
D28001,水果類,水蜜桃平均值,"毛桃,白桃",36.7798,0.9065,0.1633,0.0426,9.7287,1.6599,6.3621,1.9139,
D2800101,水果類,水蜜桃,"毛桃,白桃",37.5889,0.906,0.1389,0.0,9.8665,1.3358,6.0491,3.4017,
D2800102,水果類,甜蜜桃,"毛桃,白桃",35.9707,0.907,0.1876,0.0978,9.5909,1.9839,6.675,0.426,
D28002,水果類,脆桃平均值,"桃子,甜桃",40.2925,0.9194,0.1426,0.0499,11.1215,2.5171,5.8215,2.1418,
D2800201,水果類,白油桃,"桃子,脆桃,甜桃",32.5677,0.635,0.125,,9.3339,2.6339,,0.684,
D2800202,水果類,玫瑰桃,"桃子,脆桃,甜桃",48.229,1.2,0.1,,12.8,1.7,,7.0,
D2800203,水果類,福壽桃,"桃子,脆桃,甜桃",42.3456,0.888,0.1682,,11.9003,3.0544,6.4196,0.483,
D2800204,水果類,鶯哥桃,"桃子,脆桃,甜桃",38.0279,0.9545,0.1772,0.062,10.4516,2.6801,5.2233,0.4002,
D2800301,水果類,蟠桃,餅桃,42.5778,0.854,0.2189,0.06,11.2681,1.6806,8.638,0.0,
D2900101,水果類,青梅(胭脂梅),梅子,31.4681,0.514,0.1458,0.0396,8.8015,1.9779,0.75,0.801,
D30001,水果類,西洋梨平均值,"梨子,水梨,山褵,快果,果宗",49.3989,0.2543,0.1587,0.0768,14.0568,2.1177,11.264,0.4537,
D3000101,水果類,西洋梨(青皮),"梨子,水梨,山褵,快果,果宗",57.6565,0.2755,0.1915,,16.4842,2.6345,,0.1565,
D3000102,水果類,西洋梨(紅皮),"梨子,水梨,山褵,快果,果宗",49.9017,0.2815,0.2106,0.1019,13.9237,1.8326,11.264,0.8611,
D3000103,水果類,西洋梨(黃皮),"梨子,水梨,山褵,快果,果宗",40.6386,0.206,0.074,,11.7624,1.886,,0.3435,
D3000201,水果類,幸水梨,"梨子,水梨,山褵,快果,果宗",32.2712,0.403,0.039,,9.014,1.1623,6.7709,0.446,
D3000202,水果類,大雪梨,"梨子,水梨,山褵,快果,果宗",40.1456,0.3367,0.1109,0.0443,11.0903,1.1494,7.2386,0.4106,
D3000203,水果類,新世紀梨,"梨子,水梨,山褵,快果,果宗",38.7327,0.368,0.2115,,10.719,1.789,,6.0671,
D3000204,水果類,新興梨,"梨子,水梨,山褵,快果,果宗",41.8165,0.24,0.057,,11.8832,1.4041,,0.3705,
D3000205,水果類,橫山梨,"梨子,水梨,山褵,快果,果宗(三灣冬梨,粗梨)",43.6092,0.4055,0.0825,,12.3734,1.8675,,4.7379,
D3000206,水果類,豐水梨,"梨子,水梨,山褵,快果,果宗",34.585,0.5257,0.0673,0.0218,9.3887,0.965,6.8505,0.3245,
D3000301,水果類,將軍蜜梨,"梨子,水梨,山褵,快果,果宗(三星上將梨)",48.3491,0.366,0.081,,13.3133,0.9291,,0.4764,
D3000302,水果類,梨山蜜梨,"梨子,水梨,山褵,快果,果宗",44.4947,0.289,0.0455,0.0261,12.693,1.595,8.203,0.2036,0.0
D31001,水果類,蜜棗平均值(大),"棗子,棗仔",40.6272,1.0548,0.1465,0.0497,10.6935,1.6495,7.2985,2.1994,
D3100101,水果類,蜜棗(長形),"棗子,棗仔",40.1389,1.1605,0.17,,10.4163,1.6762,,3.6653,
D3100102,水果類,蜜棗(圓形),"棗子,棗仔(蜜絲棗)",41.1155,0.949,0.1229,0.0417,10.9707,1.6227,7.2985,0.7335,
